min post release, degrees from east, mph
52.145400, 262.157853, 2.411140
52.228700, 238.757140, 2.007579
52.312000, 237.272727, 1.829822
52.395300, 228.216265, 1.584223
52.478600, 211.947073, 1.631466
52.561900, 210.867926, 1.409768
52.645200, 214.863558, 1.313471
52.728500, 218.401810, 1.250675
52.811800, 237.134142, 1.217848
52.895100, 268.112929, 1.402173
52.978400, 279.169828, 1.247998
53.061700, 280.909091, 1.179990
53.145000, 281.938562, 1.175477
53.228300, 286.369804, 1.087962
53.311600, 287.365836, 1.140085
53.394900, 317.941661, 1.734896
53.478200, 352.661672, 2.653541
53.561500, 343.514755, 2.602333
53.644800, 352.136377, 2.124234
53.728100, 331.641061, 1.868664
53.811400, 330.834069, 2.088488
53.894700, 357.469132, 2.035877
53.978000, 2.170680, 1.863712
54.061300, 2.957211, 1.515050
54.144600, 349.656628, 1.458517
54.227900, 336.912485, 1.459435
54.311200, 336.912485, 1.222758
54.394500, 336.910279, 1.128038
54.477800, 336.909091, 1.039256
54.561100, 336.909091, 0.907364
54.644400, 336.893650, 0.973785
54.727700, 322.035762, 0.845738
54.811000, 314.363636, 0.946738
54.894300, 312.494727, 1.142586
54.977600, 276.283646, 1.077984
55.060900, 218.428252, 0.964592
55.144200, 213.272727, 1.072353
55.227500, 213.272727, 0.835669
55.310800, 216.976823, 0.727094
55.394100, 218.912471, 1.008435
55.477400, 229.207463, 1.083100
55.560700, 230.000000, 1.221989
55.644000, 230.000000, 1.248471
55.727300, 230.000000, 1.026781
55.810600, 230.000000, 0.942159
55.893900, 230.000000, 0.825963
55.977200, 229.380528, 1.069381
56.060500, 200.195421, 1.174047
56.143800, 193.853210, 1.190713
56.227100, 193.636364, 1.346151
56.310400, 193.636364, 1.493754
56.393700, 193.645017, 1.672605
56.477000, 210.346766, 1.558320
56.560300, 211.745862, 1.202407
56.643600, 207.483441, 1.006166
56.726900, 219.571509, 1.033948
56.810200, 233.329445, 1.091372
56.893500, 233.635176, 1.124778
56.976800, 233.636364, 1.148067
57.060100, 234.041064, 0.954197
57.143400, 234.363636, 0.825125
57.226700, 234.363636, 0.974406
57.310000, 234.788869, 1.066485
57.393300, 237.956578, 1.094428
57.476600, 240.909091, 0.935183
57.559900, 240.909091, 0.812404
57.643200, 240.909091, 0.849302
57.726500, 240.909091, 1.275760
57.809800, 257.723981, 1.424010
57.893100, 344.083000, 1.550303
57.976400, 51.540852, 2.259703
58.059700, 40.759009, 2.377392
58.143000, 31.157330, 1.952977
58.226300, 40.667382, 1.749823
58.309600, 54.449487, 2.040264
58.392900, 49.520464, 2.491149
58.476200, 29.681497, 2.363002
58.559500, 26.870968, 2.250335
58.642800, 33.904620, 2.568851
58.726100, 35.446746, 2.533072
58.809400, 39.121909, 2.428888
58.892700, 43.227797, 2.771121
58.976000, 33.852758, 2.782832
59.059300, 31.274811, 2.629126
59.142600, 38.424068, 2.690165
59.225900, 32.537658, 2.237152
59.309200, 36.316415, 2.176720
59.392500, 29.866967, 2.047247
59.475800, 32.233392, 1.945858
59.559100, 33.768294, 2.359737
59.642400, 41.434193, 2.431577
59.725700, 57.979127, 2.232841
59.809000, 61.761342, 2.562646
59.892300, 56.301374, 2.761848
59.975600, 69.129616, 2.866439
